TIME;HOME;AWAY;MATCH_ID;1;X;2;UG_0_2;UG_3_PLUS;UG_4_PLUS;GG;I_GG;GG_3_PLUS
20:00;Baleares;Gimnastic;765;2.75;3.2;2.3;1.65;2.12;3.9;1.85;5.0;2.47
20:00;Real Avila;Real Aviles;;2.85;3.2;2.15;1.85;1.83;3.15;1.67;;
20:00;UD Logrones;Ponferradina;389;3.3;3.15;2.05;1.55;2.3;4.45;2.0;5.6;2.72
20:00;FUS Rabat;Olympique Safi;745;1.95;2.95;3.85;1.42;2.6;5.4;2.23;6.75;3.3
20:00;De Treffers;Maastricht;772;3.05;3.55;2.1;2.23;1.57;2.47;1.5;3.85;1.83
20:00;Eemdijk;AFC;771;4.4;4.2;1.6;2.7;1.4;2.03;1.43;3.55;1.67
20:00;Spakenburg;VV DOVO;768;1.22;6.1;9.75;3.35;1.27;1.72;1.62;3.75;1.82
20:00;Sparta R.;Groningen;771;2.4;3.55;2.57;2.25;1.55;2.45;1.47;3.8;1.8
20:00;Sportlust;Barendrecht;782;2.23;3.95;2.57;3.3;1.27;1.73;1.27;2.78;1.43
20:00;Willem II;Dordrecht;775;2.1;3.65;2.9;2.4;1.48;2.25;1.42;3.6;1.72
20:00;CSC Dumbravita;Rapid Bucuresti;756;12.0;6.7;1.17;2.95;1.33;1.87;1.9;4.65;2.13
20:00;Debreceni;Honved;390;1.75;3.9;3.85;2.5;1.45;2.17;1.45;3.65;1.72
20:00;SC Spelle-Venhaus;TSV Wetschen;;2.25;3.85;2.46;3.0;1.35;1.85;1.33;;
20:30;Grasshoppers;Young Boys;802;3.2;3.6;2.13;2.23;1.67;2.68;1.6;4.1;1.95
20:30;Lugano;Luzern;802;1.85;3.9;3.8;2.28;1.65;2.62;1.6;4.1;1.92
20:30;Beerschot;Westerlo;773;3.85;3.9;1.75;2.5;1.45;2.18;1.45;3.65;1.72
20:30;Cercle Brugge;Kortrijk;768;1.6;4.3;4.4;2.45;1.47;2.23;1.5;3.85;1.8
20:30;Gent;Patro Eisden;765;1.27;5.8;9.75;2.9;1.4;1.97;1.75;4.35;2.03
20:30;Knokke;St. Truiden;764;6.9;4.6;1.43;2.32;1.6;2.47;1.77;4.65;2.15
20:30;Seraing;Leuven;769;6.7;4.65;1.43;2.4;1.55;2.37;1.72;4.45;2.05
20:30;Latina;Perugia;763;2.47;3.05;2.8;1.65;2.1;3.85;1.83;5.1;2.52
20:30;Ospitaletto;Inter U23;767;2.95;3.2;2.27;1.83;1.85;3.25;1.67;4.65;2.2
20:45;Pisa;Lazio;895;3.8;3.25;2.18;1.65;2.3;4.35;2.0;5.75;2.78
20:45;Nordsjaelland;Brondby;770;2.45;3.55;2.47;2.2;1.6;2.52;1.48;3.9;1.85
21:00;Antoniano;Castellon;386;6.2;3.75;1.43;1.8;1.88;3.3;2.1;5.5;2.63
21:00;Atletic Lleida;Espanyol;;17.0;8.0;1.06;3.3;1.27;1.73;2.4;;
21:00;CD Estepona;Malaga;386;5.6;2.78;1.67;1.63;2.1;3.9;2.07;5.6;2.75
21:00;Murcia;Antequera;388;2.15;2.95;3.3;1.52;2.37;4.65;2.03;5.7;2.8
21:00;UD Samano;La Coruna;385;12.0;4.45;1.25;2.25;1.57;2.45;2.2;5.4;2.6
21:00;Legia;Pogon Szczecin;759;1.6;3.75;4.95;2.0;1.7;2.85;1.73;4.7;2.18
21:00;Raalte;Twente;749;16.0;7.7;1.12;3.3;1.27;1.73;2.0;4.45;2.23
21:00;Ad Aserri;Santa Ana;768;2.37;3.35;2.55;1.77;1.9;3.4;1.7;4.75;2.25
21:00;Imbabura;Chacaritas;;1.13;6.8;13.0;3.2;1.28;1.75;;;
21:15;Leixoes;Academico Viseu;760;2.65;3.15;2.62;1.6;2.25;4.3;1.93;5.5;2.68
21:15;Maritimo;Leiria;763;2.12;3.3;3.3;1.75;2.0;3.6;1.8;4.95;2.42
21:30;Gremio U20;Sao Paulo U20;;3.2;3.05;2.12;1.87;1.83;2.95;1.65;;
22:00;U. Magdalena;Dep. Tolima;756;4.15;3.3;1.88;1.6;2.2;4.15;2.0;5.6;2.7
23:00;Lanus;U. De Chile;777;1.85;3.25;4.5;1.57;2.33;4.5;2.13;6.1;2.95
23:00;Universidad O&M;Cibao;392;3.15;3.5;2.07;1.9;1.8;3.0;1.7;4.55;2.13
23:00;Monte Roraima U20;Iape U20;;4.2;3.75;1.65;2.17;1.61;2.5;1.62;;
23:00;Tomayapo;Ind. Petroleros;392;1.93;3.75;3.1;2.35;1.5;2.32;1.45;3.7;1.77
00:10;Chico;America Cali;757;3.5;3.05;2.15;1.57;2.25;4.3;1.97;5.6;2.75
01:30;Palmeiras;LDU Quito;780;1.17;7.3;15.0;2.65;1.47;2.15;2.23;5.3;2.52
01:30;The Strongest;Oriente Petrolero;387;1.35;4.55;6.6;2.6;1.42;2.07;1.63;4.1;1.9
02:00;Spokane W;Carolina Ascent W;387;3.6;3.25;1.9;1.67;2.0;3.65;1.83;5.1;2.42
02:20;Llaneros;Atl. Nacional;756;4.25;3.35;1.85;1.63;2.13;3.95;1.97;5.5;2.65
03:00;Olimpia;Alajuelense;759;2.23;2.8;3.25;1.65;2.07;3.8;1.85;5.2;2.55
03:00;Desamparados;Carmelita;762;1.95;3.4;3.3;1.8;1.87;3.3;1.72;4.75;2.27
09:30;PSIM Yogyakarta;Persik;760;2.3;3.15;2.95;1.6;2.2;4.15;1.9;5.4;2.63
09:35;Brisbane Roar;Melbourne City;794;3.7;3.65;1.9;1.8;2.0;3.6;1.85;5.0;2.37
09:35;Marconi;Heidelberg Utd;769;2.57;3.35;2.5;2.03;1.7;2.8;1.55;4.2;1.97
11:00;Shanghai Port;Zhejiang Prof.;776;1.6;4.8;3.95;3.95;1.2;1.57;1.25;2.68;1.38
11:45;Perth Glory;Melbourne Victory;803;3.1;3.7;2.1;2.27;1.63;2.57;1.55;3.95;1.87
12:00;Dempo;Chennaiyin;773;2.95;3.55;2.05;2.35;1.5;2.33;1.45;3.7;1.75
12:35;Chengdu Ron.;Henan SL;766;1.4;4.7;6.1;2.7;1.4;2.03;1.55;3.85;1.8
13:00;Shanghai Shenhua;Shenzhen Xinpengcheng;765;1.18;6.9;10.0;3.25;1.3;1.77;1.67;3.9;1.88
13:00;Persija Jakarta;PSBS Biak;734;1.05;10.0;26.0;2.95;1.33;1.88;3.0;6.5;3.3
13:00;Kleczew;Podbeskidzie;768;3.2;3.3;2.12;1.9;1.8;3.05;1.63;4.5;2.13
13:30;Proxy;Tanta;378;1.85;2.85;4.6;1.28;3.25;7.4;2.75;8.25;4.25
13:45;Bielsko-Biala;GKS Jastrzebie;760;1.42;4.35;6.3;2.23;1.57;2.5;1.75;4.65;2.12
14:00;Dugopolje;Jarun;756;2.13;3.0;3.3;1.55;2.25;4.3;1.95;5.6;2.72
14:00;Opatija;Croatia Zmijavci;747;1.88;3.2;3.8;1.47;2.4;4.9;2.15;6.3;3.0
