TIME;DAY;DATE;LEAGUE;HOME;AWAY;MATCH_ID;1;X;2;0-2;2+;3+;GG;IGG;GG&3+
05:00;Sub;01.11.;AUS1;Auckland;Adelaide United;671;1.77;3.85;4.2;2.15;1.18;1.62;1.6;3.85;1.92
05:05;Sub;01.11.;JAPLK;Kashiwa Reysol;Sanfrecce Hiroshima;503;2.8;3.3;2.47;1.65;1.35;2.1;1.85;4.9;2.43
05:15;Sub;01.11.;AUSCH;Sydney Olympic;South Melbourne;503;3.6;3.75;1.85;2.05;1.21;1.68;1.65;3.95;1.95
06:00;Sub;01.11.;JKOR1;Daejeon;Seoul;530;2.5;3.7;2.5;2.07;1.21;1.68;1.6;3.8;1.93
06:00;Sub;01.11.;JKOR1;Gangwon;Jeonbuk;530;2.95;3.35;2.35;1.75;1.32;1.97;1.77;4.6;2.27
06:00;Sub;01.11.;JKOR2;Gyeongnam;Seoul E-Land;502;4.6;3.75;1.65;2.0;1.22;1.72;1.72;4.25;2.03
06:00;Sub;01.11.;JKOR2;Suwon Bluewings;Cheongju;500;1.33;5.0;7.6;2.5;1.12;1.47;1.75;4.05;1.95
06:00;Sub;01.11.;JKOR3;Gyeongju KHNP;Yeoju Citizen FC;502;1.57;3.9;5.15;1.88;1.26;1.82;1.9;4.75;2.35
06:00;Sub;01.11.;JKOR3;Yangpyeong;Daejeon Korail;503;2.55;2.95;2.8;1.55;1.43;2.27;1.93;5.3;2.6
07:00;Sub;01.11.;AUS1W;Brisbane Roar Wom.;Melbourne Victory Wom.;503;3.25;3.6;2.0;2.2;1.17;1.6;1.53;3.65;1.78
07:00;Sub;01.11.;AUS1;Newcastle Jets;Sydney FC;672;2.55;4.05;2.35;2.7;1.1;1.42;1.4;3.05;1.6
07:30;Sub;01.11.;KIN2;Chongqing Tonglianglong;Suzhou Dongwu;496;1.23;5.0;14.0;1.97;1.23;1.75;2.38;6.2;2.8
07:30;Sub;01.11.;KIN2;Dalian Kuncheng;Shaanxi Union;502;2.2;3.6;2.85;1.98;1.23;1.73;1.65;4.0;1.95
07:30;Sub;01.11.;KIN2;Dingnan Ganlian;Shenzhen Juniors;502;2.3;3.35;2.85;1.83;1.28;1.87;1.7;4.35;2.1
07:30;Sub;01.11.;KIN2;Foshan Nanshi;Shijiazhuang Gongfu;503;3.1;3.05;2.3;1.62;1.38;2.15;1.87;5.05;2.37
07:30;Sub;01.11.;KIN2;Guangxi Pingguo Haliao;Shanghai Jiading Huilong;500;1.5;3.75;6.45;1.67;1.35;2.07;2.18;5.8;2.7
07:30;Sub;01.11.;KIN2;Nanjing City;Liaoning Tieren;504;3.2;3.45;2.05;2.07;1.2;1.67;1.58;3.85;1.92
07:30;Sub;01.11.;KIN2;Nantong Zhiyun;Yanbian Longding;502;1.7;3.55;4.65;1.78;1.3;1.92;1.87;4.85;2.28
